Location,Continent,Date,DailyCases,DaysSinceStart,DailySlope,MaxSlope
Armenia,Asia,2020-01-22,0,0,0.685638898137372,226.88269303462724
Armenia,Asia,2020-01-23,0,1,0.685909633437996,226.88269303462724
Armenia,Asia,2020-01-24,0,2,0.6861810028720767,226.88269303462724
Armenia,Asia,2020-01-25,0,3,0.686453008670188,226.88269303462724
Armenia,Asia,2020-01-26,0,4,0.6867256530733776,226.88269303462724
Armenia,Asia,2020-01-27,0,5,0.6869989383332283,226.88269303462724
Armenia,Asia,2020-01-28,0,6,0.6872728667119203,226.88269303462724
Armenia,Asia,2020-01-29,0,7,0.6875474404822934,226.88269303462724
Armenia,Asia,2020-01-30,0,8,0.68782266192791,226.88269303462724
Armenia,Asia,2020-01-31,0,9,0.6880985333431181,226.88269303462724
Armenia,Asia,2020-02-01,0,10,0.6883750570331156,226.88269303462724
Armenia,Asia,2020-02-02,0,11,0.6886522353140142,226.88269303462724
Armenia,Asia,2020-02-03,0,12,0.6889300705129036,226.88269303462724
Armenia,Asia,2020-02-04,0,13,0.6892085649679175,226.88269303462724
Armenia,Asia,2020-02-05,0,14,0.6894877210282988,226.88269303462724
Armenia,Asia,2020-02-06,0,15,0.6897675410544654,226.88269303462724
Armenia,Asia,2020-02-07,0,16,0.6900480274180771,226.88269303462724
Armenia,Asia,2020-02-08,0,17,0.6903291825021024,226.88269303462724
Armenia,Asia,2020-02-09,0,18,0.6906110087008861,226.88269303462724
Armenia,Asia,2020-02-10,0,19,0.6908935084202171,226.88269303462724
Armenia,Asia,2020-02-11,0,20,0.6911766840773973,226.88269303462724
Armenia,Asia,2020-02-12,0,21,0.6914605381013098,226.88269303462724
Armenia,Asia,2020-02-13,0,22,0.6917450729324891,226.88269303462724
Armenia,Asia,2020-02-14,0,23,0.6920302910231905,226.88269303462724
Armenia,Asia,2020-02-15,0,24,0.6923161948374608,226.88269303462724
Armenia,Asia,2020-02-16,0,25,0.6926027868512095,226.88269303462724
Armenia,Asia,2020-02-17,0,26,0.6928900695522794,226.88269303462724
Armenia,Asia,2020-02-18,0,27,0.6931780454405199,226.88269303462724
Armenia,Asia,2020-02-19,0,28,0.6934667170278582,226.88269303462724
Armenia,Asia,2020-02-20,0,29,0.6937560868383732,226.88269303462724
Armenia,Asia,2020-02-21,0,30,0.694046157408369,226.88269303462724
Armenia,Asia,2020-02-22,0,31,0.6943369312864481,226.88269303462724
Armenia,Asia,2020-02-23,0,32,0.6946284110335875,226.88269303462724
Armenia,Asia,2020-02-24,0,33,0.6949205992232128,226.88269303462724
Armenia,Asia,2020-02-25,0,34,0.6952134984412742,226.88269303462724
Armenia,Asia,2020-02-26,0,35,0.695507111286323,226.88269303462724
Armenia,Asia,2020-02-27,0,36,0.6958014403695881,226.88269303462724
Armenia,Asia,2020-02-28,0,37,0.6960964883150538,226.88269303462724
Armenia,Asia,2020-02-29,0,38,0.6963922577595375,226.88269303462724
Armenia,Asia,2020-03-01,1,39,0.6966887513527683,226.88269303462724
Armenia,Asia,2020-03-02,0,40,0.6969859717574663,226.88269303462724
Armenia,Asia,2020-03-03,0,41,0.697283921649422,226.88269303462724
Armenia,Asia,2020-03-04,0,42,0.6975826037175767,226.88269303462724
Armenia,Asia,2020-03-05,0,43,0.6978820206641039,226.88269303462724
Armenia,Asia,2020-03-06,0,44,0.6981821752044898,226.88269303462724
Armenia,Asia,2020-03-07,0,45,0.6984830700676162,226.88269303462724
Armenia,Asia,2020-03-08,0,46,0.6987847079958431,226.88269303462724
Armenia,Asia,2020-03-09,0,47,0.6990870917450916,226.88269303462724
Armenia,Asia,2020-03-10,0,48,0.6993902240849283,226.88269303462724
Armenia,Asia,2020-03-11,0,49,0.6996941077986493,226.88269303462724
Armenia,Asia,2020-03-12,3,50,0.6999987456833661,226.88269303462724
Armenia,Asia,2020-03-13,4,51,0.7003041405500908,226.88269303462724
Armenia,Asia,2020-03-14,10,52,0.7006102952238231,226.88269303462724
Armenia,Asia,2020-03-15,8,53,0.7009172125436367,226.88269303462724
Armenia,Asia,2020-03-16,26,54,0.701224895362768,226.88269303462724
Armenia,Asia,2020-03-17,26,55,0.7015333465487035,226.88269303462724
Armenia,Asia,2020-03-18,6,56,0.7018425689832696,226.88269303462724
Armenia,Asia,2020-03-19,31,57,0.7021525655627221,226.88269303462724
Armenia,Asia,2020-03-20,21,58,0.7024633391978369,226.88269303462724
Armenia,Asia,2020-03-21,24,59,0.7027748928140004,226.88269303462724
Armenia,Asia,2020-03-22,34,60,0.7030872293513021,226.88269303462724
Armenia,Asia,2020-03-23,41,61,0.7034003517646265,226.88269303462724
Armenia,Asia,2020-03-24,14,62,0.7037142630237465,226.88269303462724
Armenia,Asia,2020-03-25,16,63,0.7040289661134178,226.88269303462724
Armenia,Asia,2020-03-26,25,64,0.7043444640334723,226.88269303462724
Armenia,Asia,2020-03-27,39,65,0.7046607597989146,226.88269303462724
Armenia,Asia,2020-03-28,78,66,0.7049778564400174,226.88269303462724
Armenia,Asia,2020-03-29,17,67,0.7052957570024184,226.88269303462724
Armenia,Asia,2020-03-30,58,68,0.7056144645472179,226.88269303462724
Armenia,Asia,2020-03-31,50,69,0.705933982151077,226.88269303462724
Armenia,Asia,2020-04-01,39,70,0.7062543129063167,226.88269303462724
Armenia,Asia,2020-04-02,92,71,0.7065754599210174,226.88269303462724
Armenia,Asia,2020-04-03,73,72,0.7068974263191196,226.88269303462724
Armenia,Asia,2020-04-04,34,73,0.7072202152405253,226.88269303462724
Armenia,Asia,2020-04-05,52,74,0.7075438298411997,226.88269303462724
Armenia,Asia,2020-04-06,11,75,0.7078682732932747,226.88269303462724
Armenia,Asia,2020-04-07,20,76,0.7081935487851518,226.88269303462724
Armenia,Asia,2020-04-08,28,77,0.7085196595216071,226.88269303462724
Armenia,Asia,2020-04-09,40,78,0.7088466087238963,226.88269303462724
Armenia,Asia,2020-04-10,16,79,0.7091743996298607,226.88269303462724
Armenia,Asia,2020-04-11,30,80,0.7095030354940344,226.88269303462724
Armenia,Asia,2020-04-12,46,81,0.7098325195877516,226.88269303462724
Armenia,Asia,2020-04-13,26,82,0.7101628551992555,226.88269303462724
Armenia,Asia,2020-04-14,28,83,0.7104940456338075,226.88269303462724
Armenia,Asia,2020-04-15,44,84,0.7108260942137975,226.88269303462724
Armenia,Asia,2020-04-16,48,85,0.7111590042788549,226.88269303462724
Armenia,Asia,2020-04-17,42,86,0.7114927791859608,226.88269303462724
Armenia,Asia,2020-04-18,47,87,0.7118274223095605,226.88269303462724
Armenia,Asia,2020-04-19,43,88,0.7121629370416775,226.88269303462724
